REQUISITION_NO;LINE_NO;RELEASE_NO;LAST_AUTHORIZED_DATE;WANTED_RECEIPT_DATE;REQUISITIONER_CODE;REQUISITIONER_NAME;NOTE_TEXT;PART_NO;PART_DESCRIPTION;ORIGINAL_QTY;BUY_UNIT_MEAS;FBUY_UNIT_PRICE;SPEC1;SPEC2;SPB_REFERENCE;BUYER_CODE;STATUS
MMG210000881;1;1;2021/08/12 00:00:00.000;2021/07/03 00:00:00.000;ST166_MMG1;Site - Infrastructure;;171690735;PIPA PVC; 5.0;pcs; 101900.0;"2"" x 4 m";;401/GDGS/MMG/6-2021;BUYER11_MMG1;Authorized
SAI210001052;2;8;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 148500.0;;KLEP;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;7;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 420750.0;;BOTOL KLEP;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;6;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 445500.0;;AS KLEP;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;5;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 440550.0;;GIGI CLOSE;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;4;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 99000.0;;LEMER BLOK;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;3;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 148500.0;;LAHAR SOKAR;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;2;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 470250.0;;SOKAR;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;1;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 594000.0;;PISTON;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;1;1;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;700023129;JASA RM TEKNIK; 1.0;unit; 841500.0;;OVER HOULE MESIN;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;21;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 2.0;lot; 94050.0;;BAN DALAM;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;20;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 2.0;lot; 445500.0;;BAN LUAR DEPAN;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;19;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 475200.0;;CDI;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;18;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 64350.0;;FILTER OLI;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;17;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 74250.0;;OLI MESIN;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;16;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 94050.0;;PAKING KOMPLIT;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;15;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 34650.0;;KAMPAS REM;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;14;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 386100.0;;KOM STIR;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;13;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 4.0;lot; 34650.0;;LAHAR DEPAN BELAKANG;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;12;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 44550.0;;SEAL GIGI TAREK;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;11;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 237600.0;;TEMENG;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;10;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 485100.0;;RANTANG CLOSE;179/07/SAI21;BUYER11_SAI1;Authorized
SAI210001052;2;9;2021/08/12 00:00:00.000;2021/08/24 00:00:00.000;ST167_SAI1;Site - Workshop;;400015101;MATERIAL SERVICE EQUIPMENT TEKNIK; 1.0;lot; 237600.0;;PIANO KLEP;179/07/SAI21;BUYER11_SAI1;Authorized
SLS210001987;3;1;2021/08/12 00:00:00.000;2021/08/30 00:00:00.000;ST161_SLS2;Site - Pabrik;;121120091;MILD STEEL PLATE; 12.0;pcs; 2940000.0;8 mm x 4' x 8';;178/PAB-SLS2/VI/21;BUYER504_HO;Authorized
SLS210001987;2;1;2021/08/12 00:00:00.000;2021/08/30 00:00:00.000;ST161_SLS2;Site - Pabrik;;121120092;MILD STEEL PLATE; 12.0;pcs; 2240000.0;6 mm x 4' x 8';;178/PAB-SLS2/VI/21;BUYER504_HO;Authorized
EDI210001817;1;2;2021/08/12 00:00:00.000;2021/08/10 00:00:00.000;ST154_EDI1;Site - Rawat TM;;111034955;TAS GADGET TRACKING; 8.0;pcs; 70000.0;TAS PINGGANG;;Periode Agustus;BUYER11_EDI1;Authorized
EDI210001817;1;1;2021/08/12 00:00:00.000;2021/08/10 00:00:00.000;ST154_EDI1;Site - Rawat TM;;111034955;TAS GADGET TRACKING; 58.0;pcs; 30000.0;TAS PINGGANG;;Periode Agustus;BUYER11_EDI1;Authorized
EDI210001818;1;1;2021/08/12 00:00:00.000;2021/08/10 00:00:00.000;ST154_EDI1;Site - Rawat TM;;111034955;TAS GADGET TRACKING; 78.0;pcs; 30000.0;TAS PINGGANG;;Periode Agustus;BUYER11_EDI1;Authorized
EDI210001819;1;1;2021/08/12 00:00:00.000;2021/08/10 00:00:00.000;ST154_EDI1;Site - Rawat TM;;111034955;TAS GADGET TRACKING; 14.0;pcs; 70000.0;TAS PINGGANG;;Periode Agustus;BUYER11_EDI1;Authorized
EDI210001820;1;1;2021/08/12 00:00:00.000;2021/08/10 00:00:00.000;ST154_EDI1;Site - Rawat TM;;111034955;TAS GADGET TRACKING; 43.0;pcs; 30000.0;TAS PINGGANG;;Periode Agustus;BUYER11_EDI1;Authorized
LTW210002288;6;1;2021/08/12 00:00:00.000;2013/04/16 00:00:00.000;ST163_LTW2;Site - Workshop Central;NACHI;111050011;MATA BOR; 1.0;pcs; 2000000.0;40 mm;;10/8/2021/SARIF;BUYER11_LTW1;Authorized
LTW210002288;5;1;2021/08/12 00:00:00.000;2013/04/16 00:00:00.000;ST163_LTW2;Site - Workshop Central;NACHI;111050422;MATA BOR; 1.0;pcs; 3000000.0;50 mm;;10/8/2021/SARIF;BUYER11_LTW1;Authorized
LTW210002288;4;1;2021/08/12 00:00:00.000;2013/04/16 00:00:00.000;ST163_LTW2;Site - Workshop Central;;111050015;MATA BOR; 3.0;pcs; 800000.0;20 mm;NACHI;10/8/2021/SARIF;BUYER11_LTW1;Authorized
LTW210002288;3;1;2021/08/12 00:00:00.000;2013/04/16 00:00:00.000;ST163_LTW2;Site - Workshop Central;;111050017;MATA BOR; 3.0;pcs; 600000.0;18 mm;NACHI;10/8/2021/SARIF;BUYER11_LTW1;Authorized
LTW210002288;2;1;2021/08/12 00:00:00.000;2013/04/16 00:00:00.000;ST163_LTW2;Site - Workshop Central;;111050018;MATA BOR; 3.0;pcs; 400000.0;16 mm;NACHI;10/8/2021/SARIF;BUYER11_LTW1;Authorized
LTW210002288;1;1;2021/08/12 00:00:00.000;2013/04/16 00:00:00.000;ST163_LTW2;Site - Workshop Central;HARGA ESTIMASI;111050019;MATA BOR; 3.0;pcs; 348000.0;14 mm;NACHI;10/8/2021/SARIF;BUYER11_LTW1;Authorized
LTW210002289;4;1;2021/08/12 00:00:00.000;2020/08/25 00:00:00.000;ST163_LTW2;Site - Workshop Central;MERK NACHI;111050425;MILLING DRILL; 3.0;pcs; 300000.0;16 mm;;10/08/2021/SYARIF;BUYER11_LTW1;Authorized
LTW210002289;3;1;2021/08/12 00:00:00.000;2020/08/25 00:00:00.000;ST163_LTW2;Site - Workshop Central;MERK NACHI;111050426;MILLING DRILL; 3.0;pcs; 260000.0;14 mm;;10/08/2021/SYARIF;BUYER11_LTW1;Authorized
LTW210002289;2;1;2021/08/12 00:00:00.000;2020/08/25 00:00:00.000;ST163_LTW2;Site - Workshop Central;MERK NACHI;111050044;MILLING DRILL; 3.0;pcs; 215000.0;12 mm;;10/08/2021/SYARIF;BUYER11_LTW1;Authorized
LTW210002289;1;1;2021/08/12 00:00:00.000;2020/08/25 00:00:00.000;ST163_LTW2;Site - Workshop Central;MERK NACHI;111050043;MILLING DRILL; 3.0;pcs; 180000.0;10 mm;;10/08/2021/SYARIF;BUYER11_LTW1;Authorized
AAL210001248;8;1;2021/08/12 00:00:00.000;2021/08/20 00:00:00.000;ST161_AAL1;Site - Pabrik;;171920068;SELANG COMPRESSOR; 100.0;m; 20000.0;"1/2""";;RM/PBR/VIII/2021;BUYER504_HO;Authorized
