ORDER_NO;LINE_NO;RELEASE_NO;ORDER_DATE;REQUISITION_NO;VENDOR_NO;VENDOR_NAME;PART_NO;PART_DESCRIPTION;COMPANY_NAME;BILLING_ADDRESS;NAMA_PIC_BILLING;TELEPHONE_PIC_BILLING;SHIPPING_ADDRESS;FULL_NAME_PIC_SHIPPING;BUY_QTY_DUE;WANTED_RECEIPT_DATE;TERM;ORDER_FOR;DELIVERY_TERMS_DESC;PO_TRANSPORT;REVISION;HEADER_STATUS;LINE_STATUS
PLB21003737;2;2;2021/08/12 16:28:01.000;PLB210002437;58111;BUMK MAKMUR JAYA;700003159;TRANSPORT TANDAN KOSONG TBM 1;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);KTR BESAR PLB, DESA TELAGA BHAKTI, KEC. SINGKIL UTARA, ACEH SINGKIL, NANGRO ACEH DARUSSALAM;PLB1-SAWIT(INTI+PKS); 500000.0;2021/10/30 00:00:00.000;CAD - 2 days after invoice received;ALL AFD;FRANCO;TIDAK ADA; 0.0;Released;Released
PLB21003737;2;1;2021/08/12 16:28:01.000;PLB210002437;58111;BUMK MAKMUR JAYA;700003159;TRANSPORT TANDAN KOSONG TBM 1;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);KTR BESAR PLB, DESA TELAGA BHAKTI, KEC. SINGKIL UTARA, ACEH SINGKIL, NANGRO ACEH DARUSSALAM;PLB1-SAWIT(INTI+PKS); 500000.0;2021/10/30 00:00:00.000;CAD - 2 days after invoice received;ALL AFD;FRANCO;TIDAK ADA; 0.0;Released;Released
PLB21003737;1;1;2021/08/12 16:28:01.000;PLB210002437;58111;BUMK MAKMUR JAYA;700004153;TRANSPORT TANDAN KOSONG TBM 2;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);KTR BESAR PLB, DESA TELAGA BHAKTI, KEC. SINGKIL UTARA, ACEH SINGKIL, NANGRO ACEH DARUSSALAM;PLB1-SAWIT(INTI+PKS); 500000.0;2021/10/30 00:00:00.000;CAD - 2 days after invoice received;ALL AFD;FRANCO;TIDAK ADA; 0.0;Released;Released
MMG21001023;1;1;2021/08/09 10:05:31.000;MMG210000977;43553;TOKO ELEKTRONIK WALUYO;700026107;RM PERALATAN SITE;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL MMG, DESA MARTA SARI, KEC. PASANGKAYU, KAB. MAMUJU UTARA, SULAWESI BARAT;MMG1-SAWIT(INTI); 1.0;2021/07/15 00:00:00.000;10 days after invoice received;KANTOR A3;FRANCO;TIDAK ADA; 1.0;Released;Released
PLB21003728;2;1;2021/08/12 17:55:39.000;PLB210002361;19848;SIMEG;121020012;PIPET;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK PLB1, DESA TELAGA BHAKTI, KEC. SINGKIL UTARA, ACEH SINGKIL, NANGRO ACEH DARUSSALAM;PLB1-SAWIT(INTI+PKS); 80.0;2021/09/25 00:00:00.000;30 days after invoice received;ST.LABOR;FRANCO;TIDAK ADA; 0.0;Released;Released
PLB21003728;1;1;2021/08/12 17:55:39.000;PLB210002361;19848;SIMEG;121100022;GLASS MICRO FIBRE FILTER;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK PLB1, DESA TELAGA BHAKTI, KEC. SINGKIL UTARA, ACEH SINGKIL, NANGRO ACEH DARUSSALAM;PLB1-SAWIT(INTI+PKS); 20.0;2021/09/25 00:00:00.000;30 days after invoice received;ST.LABOR;FRANCO;TIDAK ADA; 0.0;Released;Released
PLB21003729;1;1;2021/08/12 17:56:28.000;PLB210002361;38304;ECOLAB INTERNATIONAL INDONESIA;151003054;REAGENT SET SILICA HIGH RANGE;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK PLB1, DESA TELAGA BHAKTI, KEC. SINGKIL UTARA, ACEH SINGKIL, NANGRO ACEH DARUSSALAM;PLB1-SAWIT(INTI+PKS); 10.0;2021/09/25 00:00:00.000;30 days after invoice received;ST.LABOR;FRANCO;TIDAK ADA; 0.0;Released;Released
KTS21001789;1;1;2021/08/12 15:12:03.000;KTS210001214;43709;HARAPAN BARU GEMILANG;700032102;TRANSPORT CPO KE PELABUHAN;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);HO9, JL. PULOAYANG RAYA BLOK OR I, KAWASAN INDUSTRI PULOGADUNG, JAKARTA TIMUR 13930, DKI JAKARTA;KTS1-SAWIT(INTI+PKS); 300000.0;2021/09/12 00:00:00.000;14 days after invoice received;;FRANCO;TIDAK ADA; 0.0;Released;Released
KTS21001790;1;1;2021/08/12 15:12:30.000;KTS210001215;22505;LAMPUAN CITRA;700032102;TRANSPORT CPO KE PELABUHAN;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);HO9, JL. PULOAYANG RAYA BLOK OR I, KAWASAN INDUSTRI PULOGADUNG, JAKARTA TIMUR 13930, DKI JAKARTA;KTS1-SAWIT(INTI+PKS); 300000.0;2021/09/12 00:00:00.000;14 days after invoice received;;FRANCO;TIDAK ADA; 0.0;Released;Released
KTU21001788;1;1;2021/08/12 15:11:37.000;KTU210001113;58004;TRANS JAYA PERTAMA;700032102;TRANSPORT CPO KE PELABUHAN;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);HO9, JL. PULOAYANG RAYA BLOK OR I, KAWASAN INDUSTRI PULOGADUNG, JAKARTA TIMUR 13930, DKI JAKARTA;KTU1-SAWIT(INTI+PKS); 1500000.0;2021/09/12 00:00:00.000;14 days after invoice received;;FRANCO;TIDAK ADA; 0.0;Released;Released
